time, id1, id2, amount, message
2016-11-02 09:49:29, 47424, 52575, 25.32, Spam - Failure of feature 2, 47424 - 1120 - 52575, but no path bet. 47424 - 52575
2016-11-02 09:49:29, 63967, 45177, 38.09, Dindin - Failure of feature 3 as more than 4 edges
2016-11-02 09:49:29, 3197, 59830, 19.33, Kale Salad - Failure of feature 1
2016-11-02 09:49:29, 59830, 16725, 4.85, 5
2016-11-02 09:49:29, 16725, 1552, 13.48, LoveWins
2016-11-02 09:49:29, 1552, 76352, 19.01, 🌞🍻🌲🏔🍆
2016-11-02 09:49:29, 76352, 64866, 14.99, Clothing
2016-11-02 09:49:29, 63967, 45177, 38.09, Success of feature 3 as direct path added
2016-11-02 09:49:29, 47424, 5995, 19.45, Food for 🌽 😎
2016-11-02 09:49:29, 20449, 1552, 13.48, LoveWins
2016-11-02 09:49:29, 28505, 45177, 19.01, 🌞🍻🌲🏔🍆
2016-11-02 09:49:29, 47424, 45177, 19.45, Food for 🌽 😎 - this path has length of four
